time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,horizontalError,depthError,magError,magNst
2023-01-01T18:20:53.014Z,-60.819,-51.021,11.175,4.7,mb,29.0,63.0,3.926,0.7,us,us7000j3ya,2023-03-11T22:51:46.040Z,Scotia Sea,10.28,4.226,0.13,18.0
2023-01-01T18:24:32.306Z,-2.553,140.801,30.83,5.5,mww,116.0,33.0,0.104,0.59,us,us7000j1g5,2023-03-11T22:51:30.040Z,"9 km ESE of Jayapura, Indonesia",7.38,4.07,0.068,21.0
2023-01-01T18:26:42.628Z,-56.242,-123.534,10.0,5.8,mww,22.0,100.0,29.414,0.82,us,us7000j1u6,2023-03-11T22:51:35.040Z,southern East Pacific Rise,15.33,1.725,0.083,14.0
2023-01-01T18:34:14.740Z,19.14,-156.197,38.49,3.77,ml,52.0,252.0,,0.11,hv,hv73290972,2023-03-11T22:51:30.040Z,"46 km W of Hawaiian Ocean View, Hawaii",0.64,1.12,0.179969539975316,40.0
2023-01-01T18:35:04.510Z,40.409,-123.971,30.63,5.35,mw,37.0,44.0,0.1146,0.13,nc,nc73827571,2023-03-11T22:51:30.040Z,"15km SE of Rio Dell, CA",0.25,0.62,,5.0
2023-01-01T18:55:09.666Z,40.604,-29.142,10.0,4.7,mb,79.0,45.0,3.993,0.72,us,us7000j1gq,2023-03-11T22:51:30.040Z,Azores Islands region,10.68,1.856,0.07,62.0
2023-01-01T19:03:06.178Z,2.075,128.135,153.78,4.3,mb,20.0,94.0,1.506,0.57,us,us7000j3y3,2023-03-11T22:51:46.040Z,"40 km NNE of Tobelo, Indonesia",13.68,8.348,0.188,8.0
2023-01-01T19:35:38.108Z,-3.457,131.021,10.0,4.5,mb,30.0,67.0,1.337,0.61,us,us7000j1gt,2023-03-11T22:51:30.040Z,"233 km E of Amahai, Indonesia",4.25,1.823,0.115,22.0
2023-01-01T19:37:15.835Z,15.741,-92.203,199.949,4.6,mb,95.0,67.0,0.541,0.73,us,us7000j1gs,2023-03-11T22:51:30.040Z,,6.37,4.897,0.039,195.0
2023-01-01T20:10:32.239Z,18.764,145.329,305.991,4.4,mb,71.0,95.0,5.164,0.79,us,us7000j1gz,2023-03-11T22:51:30.040Z,"Pagan region, Northern Mariana Islands",8.59,7.069,0.065,67.0
2023-01-01T21:23:47.177Z,31.684,-104.421,6.131567383,3.3,ml,35.0,58.0,0.005694830054,0.2,tx,tx2023abqj,2023-03-11T22:51:30.040Z,"54 km S of Whites City, New Mexico",0.6818347955,0.4618944496,0.2,26.0
2023-01-01T21:24:15.849Z,29.73,70.193,10.0,4.3,mb,33.0,138.0,4.706,0.68,us,us7000j1h6,2023-03-11T22:51:30.040Z,"25 km NW of Dajal, Pakistan",9.06,1.935,0.153,12.0
2023-01-01T21:32:44.421Z,-21.313,-67.21,201.911,4.4,mb,47.0,40.0,1.862,0.69,us,us7000j1h7,2023-03-11T22:51:30.040Z,"Potosi, Bolivia",7.61,6.994,0.127,18.0
2023-01-01T21:55:08.183Z,31.337,140.951,56.524,4.5,mb,55.0,98.0,2.018,0.78,us,us7000j1hc,2023-03-11T22:51:30.040Z,,8.27,4.793,0.108,25.0
2023-01-01T21:59:00.724Z,38.04,72.357,117.822,4.0,mb,26.0,126.0,1.5,0.86,us,us7000j1hb,2023-03-11T22:51:30.040Z,Tajikistan,6.87,9.868,0.196,7.0
2023-01-01T22:17:10.290Z,52.124,-170.368,35.0,2.9,ml,8.0,223.0,0.772,0.97,us,us7000j5ce,2023-03-11T22:51:52.040Z,"136 km SW of Nikolski, Alaska",4.29,2.003,0.128,8.0
2023-01-01T22:19:27.780Z,-19.054,-177.606,496.363,4.4,mb,78.0,41.0,3.087,0.56,us,us7000j1hf,2023-03-11T22:51:30.040Z,Fiji region,6.46,6.435,0.087,38.0
2023-01-01T22:31:16.570Z,18.364,-68.395,78.0,3.81,md,22.0,242.0,0.1502,0.03,pr,pr2023001003,2023-03-11T22:51:31.040Z,"22 km E of Boca de Yuma, Dominican Republic",2.79,1.02,0.19,16.0
2023-01-01T23:01:29.036Z,-4.572,151.711,151.332,4.4,mb,21.0,72.0,0.589,0.67,us,us7000j3y8,2023-03-11T22:51:46.040Z,"64 km SW of Rabaul, Papua New Guinea",12.16,6.633,0.155,12.0
